科目代號,學分數,科目名稱(中),科目名稱(英),授課教師(中),授課教師(英),開課系級,上課時間(中),上課時間(英),上課地點,修別,授課語文,"是否為核心通識",異動備註,科目備註說明,
601109011,2.0,海商法,Maritime Law,張新平,CHANG SHIN- PYNG,法律三甲,五D5,fri13-15 fri 13 14,綜合270114,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級財經法學程,
601110001,3.0,保險法,Insurance Law,葉啟洲,YEH CHI-CHOU,法律三甲,五234,fri09-12 fri 09 10 11,大智190101,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級財經法學程。,
601110011,3.0,保險法,Insurance Law,張冠群,CHANG KUAN-CHUN,法律三甲,五234,fri09-12 fri 09 10 11,綜合270751,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級財經法學程。,
601117001,2.0,英美契約法,Anglo-American Law,張冠群,CHANG KUAN-CHUN,法律四甲,四56,thu14-16 thu 14 15,綜合270302,群/Partially,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601118001,2.0,勞動法與社會法,Introduction to Labor,郭明政、黃程,KUO MING-CHENG/HWANG,法律二甲,四78,thu16-18 thu 16 17,綜合270113,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級基礎科目。,
601121001,3.0,刑法（二）,Criminal Law (II),陳志輝,CHEN JYH-HUEI,法律一甲,二234,tue09-12 tue 09 10 11,綜合270302,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601121011,3.0,刑法（二）,Criminal Law (II),許恒達,HSU HENG-DA,法律一乙,二234,tue09-12 tue 09 10 11,大勇210201,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601121021,3.0,刑法（二）,Criminal Law (II),謝如媛,HSIEH JU-YUAN,法律一丙,二234,tue09-12 tue 09 10 11,大勇210206,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601125001,3.0,基礎法學導論,Introduction to the,周伯峰,CHOU PO-FENG,法律一甲,四234,thu09-12 thu 09 10 11,綜合270111,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601125011,3.0,基礎法學導論,Introduction to the,王曉丹,WANG HSIAO-TAN,法律一甲,四234,thu09-12 thu 09 10 11,大勇210201,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601125021,3.0,基礎法學導論,Introduction to the,陳惠馨,CHEN HWEI-SYIN,法律一甲,四234,thu09-12 thu 09 10 11,大勇210104,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601126001,3.0,民法債編總論（,Civil Law: General,楊芳賢,YANG FANG-HSIEN,法律一甲,二D56,tue13-16 tue 13 14 15,大勇210201,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601126011,3.0,民法債編總論（,Civil Law: General,王千維,WANG CHIEN-WEI,法律一甲,二D56,tue13-16 tue 13 14 15,大勇210206,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601126021,3.0,民法債編總論（,Civil Law: General,葉啟洲,YEH CHI-CHOU,法律一甲,二D56,tue13-16 tue 13 14 15,大勇210101,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601133001,2.0,法理學（一）,Jurisprudence (I),顏厥安,YEN CHUEH-AN,法律二甲,一78,mon16-18 mon 16 17,,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:停開於2018/01/08;,＠備註Note:105級法學學程。,
601133011,2.0,法理學（一）,Jurisprudence (I),顏厥安,YEN CHUEH-AN,法律二甲,一78,mon16-18 mon 16 17,綜合270415,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級法學學程。,
601135001,2.0,國家組織法,State Organization,劉定基,LIU TING-CHI,法律二甲,二34,tue10-12 tue 10 11,大勇210106,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級法制學程,
601136001,3.0,行政法（二）,Administrative Law,詹鎮榮,CHAN CHEN-JUNG,法律二甲,二D56,tue13-16 tue 13 14 15,大智190304,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級基礎科目。,
601136011,3.0,行政法（二）,Administrative Law,吳秦雯,WU CHIN-WEN,法律二甲,二D56,tue13-16 tue 13 14 15,大勇210104,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級基礎科目。,
601136021,3.0,行政法（二）,Administrative Law,傅玲靜,FU LING-CHING,法律二甲,二D56,tue13-16 tue 13 14 15,大勇210202,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級基礎科目。,
601142001,3.0,刑事政策,Criminal Policy,謝如媛,HSIEH JU-YUAN,法律三甲,三D56,wed13-16 wed 13 14 15,大勇210207,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2017/12/29;,＠備註Note:除先修科目外，若有修習過犯罪學或少年法等課程者為優先。104級法制學程。,
601143001,2.0,財經法綜合研習,Comprehensive Study,朱德芳、程春,CHU TE-FANG/CHENG CHUN-YIH,法律三甲,三78,wed16-18 wed 16 17,大勇210104,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:教師異動於2018/01/24;,＠備註Note:104級綜合研習課程。,
601144001,3.0,刑事訴訟法（,Law of Criminal,何賴傑,HER LAI-JIER,法律三甲,一D56,mon13-16 mon 13 14 15,大智190101,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級基礎科目。,
601144011,3.0,刑事訴訟法（,Law of Criminal,楊雲驊,YANG YUN-HUA,法律三甲,一D56,mon13-16 mon 13 14 15,大勇210106,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級基礎科目。,
601145001,3.0,民事訴訟法（,Law of Civil,許政賢,HSU CHENG-HSIEN,法律三甲,二234,tue09-12 tue 09 10 11,大勇210105,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級法學學程。,
601145011,3.0,民事訴訟法（,Law of Civil,劉明生,LIU MING SHENG,法律三甲,二234,tue09-12 tue 09 10 11,資訊140206,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級法學學程。,
601494001,3.0,環境保護法專題,Seminar on,傅玲靜,FU LING-CHING,法律三甲,一78E,mon16-19 mon 16 17 18,綜合271410,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
601495001,3.0,金融科技法制與,Seminar on FinTech,臧正運,TSANG CHENG-YUN,法律三甲,一EFG,mon18-21 mon 18 19 20,綜合271315,選/Elective,中文,否/No,＠異動資訊Information of alteration:教室異動於2018/01/26;,＠備註Note:N/A,
601496001,2.0,中國法律思想史,History of Chinese,黃源盛,HUANG YUAN-SHENG,法律三甲,三78,wed16-18 wed 16 17,綜合271407,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:課程主題為法律繼受,
601497001,2.0,法律診療-勞動訴,Legal Clinic-Practices,陳金泉,CHEN KING CHUAN,法律四甲,四56,thu14-16 thu 14 15,綜合271315,選/Elective,中文,否/No,＠異動資訊Information of alteration:教室異動於2018/01/26;,＠備註Note:N/A,
601498001,2.0,國際智慧財產專,Seminar on,沈宗倫,SHEN CHUNG-LUN,法律三甲,四78,thu16-18 thu 16 17,綜合271411,選/Elective,英文,否/No,＠異動資訊Information of alteration:教室異動於2018/01/26;,＠備註Note:N/A,
